1,"Gemvara"
10,"Fred Meyer Jewelers"
11,"Williams-Sonoma"
13,"Tiffany & Co"
14,"Abercrombie & Fitch"
15,"Ben Bridge Jeweler"
16,"Buy.com"
17,"Dillard's"
18,"American Eagle Outfitters"
20,"Blue Nile"
21,"DSW"
4979,"www.onewayfurniture.com"
4601,"ebags"
3666,"www.shopjustice.com"
4669,"barneyswarehouse.com"
25,"J. C. Penney"
26,"Overstock.com"
27,"Bloomingdale's"
28,"Angara.com"
29,"Neiman Marcus"
30,"Ralph Lauren"
31,"Macy's"
32,"My Jewelry Box"
33,"Zales Jewelers"
34,"store.nike.com"
36,"ALDO"
37,"Paul Smith"
38,"Footlocker.com"
39,"Brilliant Earth"
40,"Kay"
41,"shop.nordstrom.com"
42,"www.finishline.com"
44,"Ashford"
45,"Timberland"
46,"BROOKS BROTHERS"
47,"James Allen"
49,"Bed Bath & Beyond"
51,"The Home Depot"
53,"ASICS America"
54,"Adidas"
55,"Puma"
56,"Converse"
57,"Zappos.com"
58,"ACE Hardware Corporation"
59,"Aeropostale"
60,"B&H Photo"
61,"BestBuy"
62,"BJS"
63,"Bose"
64,"Cost Plus World Market"
66,"Crutchfield"
67,"CVS.com"
68,"Drugstore.com"
69,"Fry's Electronics"
70,"Gap"
71,"Hewlett-Packard"
72,"Kirklands"
74,"Lowe's"
75,"Meijer"
76,"Menards"
99,"Old Navy"
4822,"www.janieandjack.com"
5244,"www.charmingcharlie.com"
2793,"Forever 21"
2277,"www.lids.com"
5232,"www.trafficshoe.com"
4715,"hockeymonkey"
4339,"Perricone MD"
4845,"esteelauder"
4943,"www.oo.com.au"
77,"Merrell"
79,"Nine West"
80,"Panasonic"
81,"Payless Shoe Source"
82,"Pier 1 Imports"
83,"RadioShack"
84,"Rite Aid"
85,"Ritz Camera"
88,"SKECHERS"
89,"Soap.com"
90,"Sony"
92,"Sur La Table"
93,"True Value"
94,"Vans"
95,"Walgreens"
96,"Under Armour"
97,"Jared"
100,"Piperlime"
101,"Banana Republic"
102,"Bath and Bodyworks"
104,"OnlineShoes.com"
105,"Beautante"
107,"Athleta"
108,"Cabelas"
109,"Chico's"
110,"Sephora"
111,"www.julep.com"
112,"Beckett Simonon"
113,"Monoprice"
114,"Crane & Canopy"
115,"Harry's"
116,"Office Depot"
117,"Staples"
118,"FragranceNet.com"
119,"Shoe Biz"
120,"Toys R Us"
121,"Right Start"
122,"One Step Ahead"
123,"Quill"
124,"OfficeMax"
125,"Shopbop"
127,"Big 5 Sporting Goods"
128,"Sports Authority"
129,"Dick's Sporting Goods"
130,"The Attic Online Shop"
131,"Campmor"
132,"Sport Chalet"
133,"Nasty Gal"
